licence_number,designation,name,dba,status,structure,city,phone
A10-17-0000001-TEMP,"Adult-Use
Medicinal","Torrey Holistics, Inc.",Torrey Holistics,Active,Corporationx,SAN DIEGO,8585581420
A10-17-0000002-TEMP,"Adult-Use
Medicinal",CalWave Enterprises Inc.,KindPeoples,Active,Corporation,SANTA CRUZ,8313327155
A10-17-0000003-TEMP,"Adult-Use
Medicinal","CalWave Enterprises, Inc.","KindPeoples (formerly
KindPeoples Collective)",Active,Corporation,SANTA CRUZ,8313327155
A10-17-0000004-TEMP,"Adult-Use
Medicinal",530 COLLECTIVE,530 CANNABIS,Active,Corporation,SHASTA LAKE,5309490501
A10-17-0000005-TEMP,"Adult-Use
Medicinal","Berkeley Patients Group, Inc",,Active,Corporation,BERKELEY,5105406013
A10-17-0000007-TEMP,"Adult-Use
Medicinal","VMK, INC.",Purple Lotus Patient Center,Active,Corporation,San Jose,9259894194
A10-17-0000008-TEMP,"Adult-Use
Medicinal",Urbn Leaf Bay Park Inc.,Urbn Leaf,Active,Corporation,SAN DIEGO,6192752235
A10-17-0000009-TEMP,"Adult-Use
Medicinal",Monterey Bay Alternative Medicine,,Active,Corporation,Del Rey Oaks,8313932500
A10-17-0000010-TEMP,"Adult-Use
Medicinal",Purple Heart Patient Center,Purple Heart,Active,Corporation,OAKLAND,5106257877
A10-17-0000011-TEMP,"Adult-Use
Medicinal","A Green Alternative Cooperative, Inc.",,Active,Corporation,SAN DIEGO,6192419897
A10-17-0000017-TEMP,"Adult-Use
Medicinal","SC VETERANS ALLIANCE, INC.",,Active,Corporation,SOQUEL,8314316347
A10-17-0000018-TEMP,"Adult-Use
Medicinal","CannaCruz, Inc.",CannaCruz,Active,Corporation,SANTA CRUZ,8314203227
A10-17-0000019-TEMP,"Adult-Use
Medicinal","NC3 Systems, Inc.",Caliva,Active,Corporation,SAN JOSE,4082972615
A10-17-0000020-TEMP,"Adult-Use
Medicinal",WCCC,West Coast Cannabis Club,Active,Corporation,CATHEDRAL CITY,6198671635
A10-17-0000022-TEMP,"Adult-Use
Medicinal",Capitola Healing Association Inc.,"Capitola Healing Association
Inc.",Active,Corporation,SANTA CRUZ,8314755506
A10-17-0000023-TEMP,"Adult-Use
Medicinal",San Jose Wellness,Harborside,Active,Corporation,SAN JOSE,5103442933
A10-17-0000024-TEMP,Adult-Use,Mt Shasta Patients Collective,,Active,Corporation,MOUNT SHASTA,5309266337
A10-17-0000025-TEMP,"Adult-Use
Medicinal","Homeopathic Cultivation Cooperative, Inc",Mother Earth's Farmacy,Active,Corporation,Cathedral City,7608328348
A10-17-0000026-TEMP,Adult-Use,Sunshine Coast Wellness,"Cathedral City Care
Collective North",Active,Corporation,CATHEDRAL CITY,9132696425
A10-17-0000027-TEMP,"Adult-Use
Medicinal",NO WAIT MEDS,no wait meds,Active,"Limited Liability
Company",CATHEDRAL CITY,8182199234
A10-17-0000028-TEMP,"Adult-Use
Medicinal",P & S Ventures,,Active,"Limited Liability
Company",Cathedral City,8186210288
